"name","recibidas","atendidas","abandonados","transferencias","constestadas","constestadas_10","constestadas_15","constestadas_20","abandonadas_10","abandonadas_15","abandonadas_20","min_espera","duracion","answ","unansw","avgw","avgt","ro10","ro15","ro20","ns10","ns15","ns20","avh210","avh215","avh220"
"ceche","35","35","","","35","33","33","33","","","","00:02:18","02:40:41","100","","00:00:03","00:04:35","94.29","94.29","94.29","94.29","94.29","94.29","94.29","94.29","94.29"
"dayala","16","16","","","16","16","16","16","","","","00:00:23","01:26:47","100","","00:00:01","00:05:25","100","100","100","100","100","100","100","100","100"
"drosas","34","34","","","34","34","34","34","","","","00:00:43","02:55:35","100","","00:00:01","00:05:09","100","100","100","100","100","100","100","100","100"
"elopez","34","34","","","34","32","33","33","","","","00:01:27","02:24:08","100","","00:00:02","00:04:14","94.12","97.06","97.06","94.12","97.06","97.06","94.12","97.06","97.06"
"evilla","27","27","","","27","26","27","27","","","","00:01:01","02:28:32","100","","00:00:02","00:05:30","96.3","100","100","96.3","100","100","96.3","100","100"
"fguerrero","9","9","","","9","9","9","9","","","","00:00:13","00:42:45","100","","00:00:01","00:04:45","100","100","100","100","100","100","100","100","100"
"gpadilla","29","29","","","29","28","28","28","","","","00:01:10","02:31:56","100","","00:00:02","00:05:14","96.55","96.55","96.55","96.55","96.55","96.55","96.55","96.55","96.55"
"hcruz","19","19","","","19","18","18","18","","","","00:01:48","02:49:23","100","","00:00:05","00:08:54","94.74","94.74","94.74","94.74","94.74","94.74","94.74","94.74","94.74"
"ijesus","4","4","","","4","4","4","4","","","","00:00:07","00:16:12","100","","00:00:01","00:04:03","100","100","100","100","100","100","100","100","100"
"jantezano","45","43","2","","43","27","28","29","2","2","2","00:22:09","01:31:15","95.56","4.44","00:00:29","00:02:07","64.44","66.67","68.89","60","62.22","64.44","62.79","65.12","67.44"
"jchero","37","37","","","37","35","37","37","","","","00:01:15","02:51:02","100","","00:00:02","00:04:37","94.59","100","100","94.59","100","100","94.59","100","100"
"kherrera","37","37","","","37","37","37","37","","","","00:00:55","02:25:42","100","","00:00:01","00:03:56","100","100","100","100","100","100","100","100","100"
"ldelacruz","26","25","","1","26","26","26","26","","","","00:00:56","02:40:51","96.15","","00:00:02","00:06:11","100","100","100","100","100","100","100","100","100"
"mparedes","31","31","","","31","30","31","31","","","","00:01:08","02:24:11","100","","00:00:02","00:04:39","96.77","100","100","96.77","100","100","96.77","100","100"
"nramon","43","43","","","43","43","43","43","","","","00:01:10","02:23:19","100","","00:00:01","00:03:19","100","100","100","100","100","100","100","100","100"
"ocoa","17","17","","","17","16","17","17","","","","00:00:40","01:42:44","100","","00:00:02","00:06:02","94.12","100","100","94.12","100","100","94.12","100","100"
"ppimentel","29","29","","","29","29","29","29","","","","00:00:38","02:35:56","100","","00:00:01","00:05:22","100","100","100","100","100","100","100","100","100"
"rquispe","3","3","","","3","3","3","3","","","","00:00:05","00:24:57","100","","00:00:01","00:08:19","100","100","100","100","100","100","100","100","100"
"xvasquez","24","24","","","24","24","24","24","","","","00:00:38","01:30:21","100","","00:00:01","00:03:45","100","100","100","100","100","100","100","100","100"
